draw,key,area,balanced_accuracy,accuracy,n_audit,stat,audit_estimate,full_estimate,unsafe_full,flag_audit,flag_ba
0,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.7332,0.64,900,delta_pp:1,2.7031,2.9395,False,False,True
0,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.7789,0.7489,900,delta_pp:1,2.3103,2.3605,False,False,True
0,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.7499,0.7222,900,delta_pp:1,1.4774,3.6188,True,False,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.7669,0.7789,900,delta_pp:1,3.8979,4.9661,True,True,True
0,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.8123,0.7867,900,delta_pp:1,-0.4704,2.0905,False,False,False
0,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.7582,0.7811,900,delta_pp:1,6.4952,4.5829,True,True,True
0,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.7374,0.75,900,delta_pp:1,1.4079,4.3086,True,False,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.7275,0.8122,900,delta_pp:1,5.316,5.5371,True,True,True
0,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.7308,0.6544,900,delta_pp:1,-0.6258,1.7575,False,False,True
0,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.7165,0.6844,900,delta_pp:1,2.2683,2.1823,False,False,True
0,economic|microsoft/Phi-3.5-mini-instruct|c,economic,0.732,0.7456,900,delta_pp:1,1.0446,2.9806,False,False,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|c,economic,0.7032,0.7111,900,delta_pp:1,5.8327,5.1812,True,True,True
1,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.6971,0.6178,900,delta_pp:1,-3.9389,2.9395,False,True,True
1,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.773,0.7533,900,delta_pp:1,-0.2276,2.3605,False,False,True
1,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.724,0.7033,900,delta_pp:1,4.1489,3.6188,True,True,True
1,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.7434,0.7611,900,delta_pp:1,5.2461,4.9661,True,True,True
1,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.8058,0.7878,900,delta_pp:1,1.2741,2.0905,False,False,False
1,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.7537,0.7767,900,delta_pp:1,5.3007,4.5829,True,True,True
1,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.7016,0.7278,900,delta_pp:1,8.6728,4.3086,True,True,True
1,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.7198,0.7933,900,delta_pp:1,4.1298,5.5371,True,True,True
1,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.7142,0.6467,900,delta_pp:1,-2.85,1.7575,False,False,True
1,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.6983,0.6733,900,delta_pp:1,0.371,2.1823,False,False,True
1,economic|microsoft/Phi-3.5-mini-instruct|c,economic,0.7104,0.7278,900,delta_pp:1,4.0766,2.9806,False,True,True
1,economic|mistralai/Mistral-7B-Instruct-v0.3|c,economic,0.6777,0.6922,900,delta_pp:1,-2.0515,5.1812,True,False,True
2,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.7294,0.6556,900,delta_pp:1,3.7012,2.9395,False,True,True
2,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.7879,0.7633,900,delta_pp:1,5.104,2.3605,False,True,True
2,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.7598,0.73,900,delta_pp:1,6.0429,3.6188,True,True,True
2,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.7435,0.7578,900,delta_pp:1,8.1824,4.9661,True,True,True
2,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.8104,0.7833,900,delta_pp:1,0.9102,2.0905,False,False,False
2,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.7551,0.7711,900,delta_pp:1,9.7217,4.5829,True,True,True
2,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.7185,0.7456,900,delta_pp:1,6.4359,4.3086,True,True,True
2,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.7311,0.8022,900,delta_pp:1,6.9725,5.5371,True,True,True
2,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.6957,0.62,900,delta_pp:1,1.3855,1.7575,False,False,True
2,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.7249,0.69,900,delta_pp:1,5.0618,2.1823,False,True,True
2,economic|microsoft/Phi-3.5-mini-instruct|c,economic,0.7411,0.7544,900,delta_pp:1,7.208,2.9806,False,True,True
2,economic|mistralai/Mistral-7B-Instruct-v0.3|c,economic,0.7124,0.7133,900,delta_pp:1,2.5299,5.1812,True,False,True
3,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.7255,0.6478,900,delta_pp:1,1.4333,2.9395,False,False,True
3,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.7705,0.7433,900,delta_pp:1,1.5221,2.3605,False,False,True
3,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.7472,0.7222,900,delta_pp:1,1.8019,3.6188,True,False,True
3,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.7412,0.7556,900,delta_pp:1,7.4157,4.9661,True,True,True
3,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.7815,0.7656,900,delta_pp:1,0.5475,2.0905,False,False,True
3,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.731,0.7567,900,delta_pp:1,6.4056,4.5829,True,True,True
3,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.6889,0.7178,900,delta_pp:1,4.3394,4.3086,True,True,True
3,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.7038,0.78,900,delta_pp:1,7.6745,5.5371,True,True,True
3,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.7125,0.6478,900,delta_pp:1,3.0673,1.7575,False,True,True
3,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.7378,0.7078,900,delta_pp:1,2.7874,2.1823,False,False,True
