draw,key,stat,estimate,boot_var,lo,hi,balanced_accuracy,area,full_estimate,unsafe_full,decision,ba_unsafe
0,selection|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,-0.1075,2.0618,-2.6259,1.8544,0.8697,selection,-0.401,False,abstain,False
0,selection|allenai/OLMo-2-1124-7B-Instruct|a,delta_pp:1,1.4091,6.9427,-1.9165,5.4622,0.8138,selection,-0.8898,False,abstain,False
0,selection|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:1,3.5826,5.8912,-0.034,7.9661,0.8504,selection,0.9105,False,abstain,False
0,selection|microsoft/Phi-3.5-mini-instruct|a,delta_pp:1,3.7858,8.7344,-0.8354,8.5903,0.7826,selection,1.8188,True,abstain,True
0,selection|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:1,0.5294,1.5809,-1.2537,2.3987,0.8715,selection,-0.5102,False,abstain,False
0,selection|allenai/OLMo-2-1124-7B-Instruct|b,delta_pp:1,1.5662,9.3169,-2.8289,6.7659,0.7496,selection,0.3366,False,abstain,True
0,selection|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:1,1.3765,4.8269,-1.8097,5.0554,0.9199,selection,1.8088,True,abstain,False
0,selection|microsoft/Phi-3.5-mini-instruct|b,delta_pp:1,0.3522,7.4539,-3.8513,5.1902,0.8451,selection,2.3681,True,abstain,False
0,selection|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:1,0.2664,1.5748,-1.7535,2.2792,0.8402,selection,-0.384,False,abstain,False
0,selection|allenai/OLMo-2-1124-7B-Instruct|c,delta_pp:1,-0.109,6.0738,-3.6028,4.1046,0.7254,selection,1.2233,True,abstain,True
0,selection|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:1,0.6524,4.2118,-1.9746,4.513,0.7689,selection,1.1876,True,abstain,True
0,selection|microsoft/Phi-3.5-mini-instruct|c,delta_pp:1,1.6398,13.9852,-5.0671,7.5128,0.7962,selection,3.7391,True,abstain,True
1,selection|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,-1.7315,3.5011,-5.2126,1.1097,0.7623,selection,-0.401,False,abstain,True
1,selection|allenai/OLMo-2-1124-7B-Instruct|a,delta_pp:1,-0.2812,9.045,-4.8218,4.067,0.7381,selection,-0.8898,False,abstain,True
1,selection|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:1,-1.2482,6.6539,-5.2244,2.6384,0.8411,selection,0.9105,False,abstain,False
1,selection|microsoft/Phi-3.5-mini-instruct|a,delta_pp:1,2.242,4.0574,-0.5579,6.0173,0.752,selection,1.8188,True,abstain,True
1,selection|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:1,-1.1678,3.7817,-4.6866,1.9859,0.8078,selection,-0.5102,False,abstain,False
1,selection|allenai/OLMo-2-1124-7B-Instruct|b,delta_pp:1,4.1438,8.3874,-1.4465,8.2626,0.8308,selection,0.3366,False,abstain,False
1,selection|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:1,0.2552,4.5658,-3.0694,3.8617,0.7572,selection,1.8088,True,abstain,True
1,selection|microsoft/Phi-3.5-mini-instruct|b,delta_pp:1,3.4906,6.2329,-0.0378,7.5733,0.8256,selection,2.3681,True,abstain,False
1,selection|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:1,-0.5101,3.5843,-3.809,2.5191,0.8095,selection,-0.384,False,abstain,False
1,selection|allenai/OLMo-2-1124-7B-Instruct|c,delta_pp:1,2.2465,6.2211,-1.816,6.3947,0.7485,selection,1.2233,True,abstain,True
1,selection|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:1,-1.0647,4.694,-4.7467,2.2667,0.7572,selection,1.1876,True,abstain,True
1,selection|microsoft/Phi-3.5-mini-instruct|c,delta_pp:1,0.2158,9.3433,-4.2193,4.8255,0.8537,selection,3.7391,True,abstain,False
2,selection|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,1.321,3.4634,-1.4039,3.9226,0.8533,selection,-0.401,False,abstain,False
2,selection|allenai/OLMo-2-1124-7B-Instruct|a,delta_pp:1,-0.502,5.1265,-4.8421,2.6703,0.8411,selection,-0.8898,False,abstain,False
2,selection|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:1,0.3885,2.4016,-2.3029,2.5076,0.9424,selection,0.9105,False,abstain,False
2,selection|microsoft/Phi-3.5-mini-instruct|a,delta_pp:1,4.6685,5.7614,1.0963,8.4021,0.8411,selection,1.8188,True,unsafe,False
2,selection|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:1,-0.0908,2.7451,-3.1066,2.831,0.9004,selection,-0.5102,False,abstain,False
2,selection|allenai/OLMo-2-1124-7B-Instruct|b,delta_pp:1,-3.1011,8.6984,-8.637,0.7051,0.8308,selection,0.3366,False,abstain,False
2,selection|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:1,1.9095,4.0387,-1.3112,4.9416,0.8953,selection,1.8088,True,abstain,False
2,selection|microsoft/Phi-3.5-mini-instruct|b,delta_pp:1,5.9238,7.4772,1.8756,11.0133,0.8814,selection,2.3681,True,unsafe,False
2,selection|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:1,0.7325,2.6985,-2.564,3.0983,0.8113,selection,-0.384,False,abstain,False
2,selection|allenai/OLMo-2-1124-7B-Instruct|c,delta_pp:1,-1.3278,6.5412,-5.2776,2.8332,0.6996,selection,1.2233,True,abstain,True
2,selection|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:1,0.576,3.1133,-2.4406,3.1812,0.8987,selection,1.1876,True,abstain,False
2,selection|microsoft/Phi-3.5-mini-instruct|c,delta_pp:1,7.2846,8.0588,2.2184,10.6482,0.871,selection,3.7391,True,unsafe,False
3,selection|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,-0.303,2.0665,-2.8918,1.8544,0.8828,selection,-0.401,False,abstain,False
3,selection|allenai/OLMo-2-1124-7B-Instruct|a,delta_pp:1,-0.2522,4.7789,-3.5545,3.2191,0.851,selection,-0.8898,False,abstain,False
3,selection|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:1,0.9205,2.7077,-2.028,3.1173,0.9246,selection,0.9105,False,abstain,False
3,selection|microsoft/Phi-3.5-mini-instruct|a,delta_pp:1,1.7515,3.708,-0.9891,4.9544,0.8738,selection,1.8188,True,abstain,False
3,selection|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:1,-0.8332,1.9613,-3.1025,1.5414,0.86,selection,-0.5102,False,abstain,False
3,selection|allenai/OLMo-2-1124-7B-Instruct|b,delta_pp:1,3.6014,3.5233,0.5852,6.4252,0.8965,selection,0.3366,False,abstain,False
3,selection|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:1,0.4223,3.9229,-2.8767,3.8441,0.8774,selection,1.8088,True,abstain,False
3,selection|microsoft/Phi-3.5-mini-instruct|b,delta_pp:1,3.109,6.5931,-0.666,7.7729,0.8594,selection,2.3681,True,abstain,False
