contrast,estimate,estimate_raw,null_centre,se,lo90,hi90,lo95,hi95,p_family,sesoi,call,issue,lambda_setting
immigration:RR-CON,0.1431,0.1373,-0.0058,0.2061,-0.1717,0.4991,-0.215,0.5316,0.992,0.25,inconclusive,immigration,-0.07
immigration:RR-CD,0.0688,0.0748,0.006,0.1175,-0.1102,0.2865,-0.1479,0.3292,1.0,0.25,inconclusive,immigration,-0.07
environment:ECO-SD,0.5664,0.5767,0.0103,0.1281,0.3438,0.7749,0.3141,0.8005,0.004,0.25,non-equivalent,environment,-0.07
taxspend:SOC-CON,0.0073,0.0081,0.0008,0.1526,-0.2577,0.2403,-0.309,0.2927,1.0,0.25,inconclusive,taxspend,-0.07
social:RR-LIB,0.011,0.0167,0.0057,0.1373,-0.1966,0.2412,-0.2235,0.2947,1.0,0.25,equivalent,social,-0.07
taxspend:EAST-WEST,0.118,0.1106,-0.0073,0.1051,-0.0812,0.2683,-0.1111,0.2943,0.712,0.25,inconclusive,taxspend,-0.07
social:EAST-WEST,0.0045,0.0002,-0.0043,0.0831,-0.1215,0.1549,-0.1412,0.1754,1.0,0.25,equivalent,social,-0.07
immigration:EAST-WEST,0.0189,0.0234,0.0045,0.1154,-0.1637,0.2293,-0.1864,0.2567,1.0,0.25,equivalent,immigration,-0.07
eu:EAST-WEST,-0.0978,-0.0986,-0.0008,0.1115,-0.2702,0.0884,-0.3051,0.1159,0.818,0.25,inconclusive,eu,-0.07
environment:EAST-WEST,0.2204,0.2215,0.0011,0.124,0.0296,0.4303,-0.0096,0.4831,0.206,0.25,inconclusive,environment,-0.07
decentralization:EAST-WEST,0.0562,0.0654,0.0092,0.2521,-0.3406,0.4831,-0.407,0.5293,1.0,0.25,inconclusive,decentralization,-0.07
immigration:RR-CON,0.2198,0.2255,0.0057,0.2132,-0.1274,0.559,-0.1839,0.6328,0.804,0.25,inconclusive,immigration,split_half
immigration:RR-CD,0.1824,0.1806,-0.0018,0.1243,-0.017,0.3959,-0.0578,0.4357,0.836,0.25,inconclusive,immigration,split_half
environment:ECO-SD,0.4826,0.4854,0.0028,0.1392,0.2599,0.6958,0.193,0.7412,0.028,0.25,non-equivalent,environment,split_half
taxspend:SOC-CON,-0.164,-0.1624,0.0016,0.1609,-0.4516,0.0622,-0.5092,0.1083,0.934,0.25,inconclusive,taxspend,split_half
social:RR-LIB,0.1679,0.1676,-0.0003,0.1436,-0.0452,0.4151,-0.0756,0.4686,0.62,0.25,inconclusive,social,split_half
taxspend:EAST-WEST,0.1237,0.127,0.0033,0.1049,-0.0412,0.2816,-0.0734,0.317,0.758,0.25,inconclusive,taxspend,split_half
social:EAST-WEST,0.0384,0.0402,0.0017,0.0855,-0.0954,0.1899,-0.1147,0.2247,1.0,0.25,equivalent,social,split_half
immigration:EAST-WEST,0.0715,0.0699,-0.0016,0.1174,-0.114,0.2742,-0.1523,0.3339,0.994,0.25,inconclusive,immigration,split_half
eu:EAST-WEST,-0.0916,-0.0944,-0.0028,0.1073,-0.2541,0.0972,-0.2787,0.1255,0.898,0.25,inconclusive,eu,split_half
environment:EAST-WEST,0.2601,0.2609,0.0008,0.1371,0.0421,0.4884,-0.0013,0.5388,0.102,0.25,inconclusive,environment,split_half
decentralization:EAST-WEST,0.0769,0.0764,-0.0004,0.2498,-0.3212,0.4724,-0.3707,0.559,1.0,0.25,inconclusive,decentralization,split_half
immigration:RR-CON,0.2588,0.2632,0.0044,0.2136,-0.0654,0.607,-0.1327,0.6813,0.642,0.25,inconclusive,immigration,+0.03
immigration:RR-CD,0.2227,0.226,0.0033,0.1323,0.0209,0.444,-0.0053,0.4828,0.658,0.25,inconclusive,immigration,+0.03
environment:ECO-SD,0.4441,0.4463,0.0022,0.1406,0.2143,0.6687,0.158,0.7086,0.126,0.25,inconclusive,environment,+0.03
taxspend:SOC-CON,-0.226,-0.2355,-0.0095,0.1594,-0.5073,0.0008,-0.5472,0.0505,0.69,0.25,inconclusive,taxspend,+0.03
social:RR-LIB,0.2332,0.2323,-0.0009,0.1386,0.0214,0.4868,-0.0183,0.5304,0.174,0.25,inconclusive,social,+0.03
taxspend:EAST-WEST,0.1242,0.134,0.0098,0.1113,-0.066,0.2898,-0.093,0.3128,0.734,0.25,inconclusive,taxspend,+0.03
social:EAST-WEST,0.0594,0.0573,-0.0021,0.0848,-0.0842,0.2044,-0.1051,0.2255,0.982,0.25,equivalent,social,+0.03
immigration:EAST-WEST,0.0921,0.0898,-0.0024,0.1328,-0.1075,0.3383,-0.1453,0.3643,0.962,0.25,inconclusive,immigration,+0.03
eu:EAST-WEST,-0.0954,-0.0929,0.0025,0.1063,-0.274,0.0836,-0.3046,0.105,0.896,0.25,inconclusive,eu,+0.03
environment:EAST-WEST,0.2757,0.2778,0.0021,0.134,0.0596,0.4965,0.0073,0.5483,0.096,0.25,inconclusive,environment,+0.03
decentralization:EAST-WEST,0.0797,0.0812,0.0015,0.2694,-0.4048,0.5006,-0.4742,0.5785,1.0,0.25,inconclusive,decentralization,+0.03
