contrast,estimate,estimate_raw,null_centre,se,lo90,hi90,lo95,hi95,p_family,sesoi,call,issue
immigration:RR-CON,0.2375,0.2255,-0.012,0.203,-0.0696,0.6075,-0.1205,0.6716,0.696,0.25,inconclusive,immigration
immigration:RR-CD,0.1782,0.1806,0.0025,0.1274,-0.0149,0.4038,-0.0473,0.444,0.852,0.25,inconclusive,immigration
environment:ECO-SD,0.4824,0.4854,0.003,0.1342,0.2429,0.6951,0.1958,0.7288,0.048,0.25,non-equivalent,environment
taxspend:SOC-CON,-0.154,-0.1624,-0.0084,0.1537,-0.4398,0.0611,-0.5057,0.1047,0.954,0.25,inconclusive,taxspend
social:RR-LIB,0.1677,0.1676,-0.0001,0.1341,-0.0248,0.3902,-0.0807,0.4378,0.644,0.25,inconclusive,social
taxspend:EAST-WEST,0.1268,0.127,0.0002,0.1084,-0.0622,0.2877,-0.0913,0.3221,0.658,0.25,inconclusive,taxspend
social:EAST-WEST,0.0434,0.0402,-0.0032,0.0746,-0.0706,0.1599,-0.1012,0.1966,1.0,0.25,equivalent,social
immigration:EAST-WEST,0.0683,0.0699,0.0016,0.1198,-0.1013,0.2813,-0.1556,0.3286,0.998,0.25,inconclusive,immigration
eu:EAST-WEST,-0.0945,-0.0944,0.0002,0.1101,-0.267,0.0981,-0.3096,0.1412,0.89,0.25,inconclusive,eu
environment:EAST-WEST,0.262,0.2609,-0.0011,0.141,0.0556,0.5109,0.0236,0.5614,0.118,0.25,inconclusive,environment
decentralization:EAST-WEST,0.0762,0.0764,0.0002,0.2715,-0.3683,0.5369,-0.44,0.6142,1.0,0.25,inconclusive,decentralization
