contrast,estimate,estimate_raw,null_centre,se,lo90,hi90,lo95,hi95,p_family,sesoi,call,issue,instrument
immigration:RR-CON,0.1249,0.1227,-0.0022,0.2421,-0.2816,0.508,-0.3533,0.561,0.998,0.25,inconclusive,immigration,y_replication
immigration:RR-CD,0.246,0.2412,-0.0048,0.1031,0.0932,0.4356,0.0671,0.4605,0.55,0.25,inconclusive,immigration,y_replication
environment:ECO-SD,0.5033,0.5104,0.0071,0.1723,0.1905,0.7537,0.1207,0.8029,0.122,0.25,inconclusive,environment,y_replication
taxspend:SOC-CON,-0.1656,-0.1688,-0.0032,0.1651,-0.4534,0.081,-0.4878,0.0937,0.904,0.25,inconclusive,taxspend,y_replication
social:RR-LIB,0.1945,0.1964,0.0019,0.1503,-0.0378,0.4476,-0.0676,0.5295,0.592,0.25,inconclusive,social,y_replication
taxspend:EAST-WEST,0.1295,0.1332,0.0037,0.0959,-0.0281,0.2801,-0.0676,0.3021,0.674,0.25,inconclusive,taxspend,y_replication
social:EAST-WEST,0.0322,0.0249,-0.0074,0.0768,-0.0852,0.165,-0.1046,0.1838,1.0,0.25,equivalent,social,y_replication
immigration:EAST-WEST,-0.0675,-0.0665,0.0011,0.1451,-0.2962,0.1704,-0.3204,0.2282,0.998,0.25,inconclusive,immigration,y_replication
eu:EAST-WEST,-0.0661,-0.0683,-0.0022,0.1012,-0.2478,0.1047,-0.2838,0.1279,0.986,0.25,equivalent,eu,y_replication
environment:EAST-WEST,0.2787,0.2861,0.0075,0.1633,0.0431,0.568,-0.0019,0.6316,0.252,0.25,inconclusive,environment,y_replication
decentralization:EAST-WEST,0.1248,0.126,0.0012,0.3127,-0.529,0.4981,-0.6515,0.5645,1.0,0.25,inconclusive,decentralization,y_replication
immigration:RR-CON,0.3844,0.3867,0.0024,0.2036,0.0554,0.7131,0.0123,0.7829,0.464,0.25,inconclusive,immigration,y_claude35_scale__claude35_summary
immigration:RR-CD,0.239,0.2449,0.0058,0.1469,0.0698,0.5247,0.0402,0.5628,0.854,0.25,inconclusive,immigration,y_claude35_scale__claude35_summary
environment:ECO-SD,0.4781,0.4501,-0.0279,0.2091,0.1721,0.8479,0.1274,0.9482,0.21,0.25,inconclusive,environment,y_claude35_scale__claude35_summary
taxspend:SOC-CON,-0.2887,-0.2894,-0.0007,0.2102,-0.6831,-0.0023,-0.7671,0.0646,0.582,0.25,inconclusive,taxspend,y_claude35_scale__claude35_summary
social:RR-LIB,0.1228,0.1264,0.0036,0.1415,-0.0703,0.3634,-0.1217,0.4417,0.934,0.25,inconclusive,social,y_claude35_scale__claude35_summary
taxspend:EAST-WEST,0.1666,0.1557,-0.0109,0.1173,-0.0531,0.3472,-0.0952,0.3774,0.482,0.25,inconclusive,taxspend,y_claude35_scale__claude35_summary
social:EAST-WEST,0.0716,0.0639,-0.0077,0.0927,-0.0835,0.2215,-0.1093,0.2598,0.964,0.25,equivalent,social,y_claude35_scale__claude35_summary
immigration:EAST-WEST,0.1058,0.1051,-0.0007,0.1944,-0.2136,0.4136,-0.2659,0.4596,0.996,0.25,inconclusive,immigration,y_claude35_scale__claude35_summary
eu:EAST-WEST,-0.0679,-0.0677,0.0002,0.0943,-0.2341,0.0813,-0.2608,0.1164,0.996,0.25,equivalent,eu,y_claude35_scale__claude35_summary
environment:EAST-WEST,0.1207,0.1229,0.0023,0.1557,-0.1054,0.4022,-0.1504,0.4499,0.982,0.25,inconclusive,environment,y_claude35_scale__claude35_summary
decentralization:EAST-WEST,-0.1601,-0.1752,-0.015,0.2493,-0.569,0.2441,-0.6438,0.3379,0.996,0.25,inconclusive,decentralization,y_claude35_scale__claude35_summary
immigration:RR-CON,0.1123,0.1068,-0.0056,0.2117,-0.2623,0.4562,-0.3321,0.5416,0.998,0.25,inconclusive,immigration,y_claude35_scale__gemini15_summary
immigration:RR-CD,0.1466,0.1452,-0.0014,0.1076,-0.0166,0.3411,-0.0424,0.3625,0.986,0.25,inconclusive,immigration,y_claude35_scale__gemini15_summary
