contrast,estimate,estimate_raw,null_centre,se,lo90,hi90,lo95,hi95,p_family,sesoi,call,issue,pair
immigration:RR-CON,0.4831,0.4722,-0.0109,0.3874,-0.0958,1.1524,-0.2057,1.3168,0.692,0.25,inconclusive,immigration,marpor_vs_expert
immigration:RR-CD,0.3408,0.3502,0.0094,0.2895,-0.0833,0.8608,-0.1487,0.9519,0.968,0.25,inconclusive,immigration,marpor_vs_expert
environment:ECO-SD,-1.6539,-1.6525,0.0014,0.6099,-2.7573,-0.8617,-3.04,-0.7068,0.02,0.25,non-equivalent,environment,marpor_vs_expert
taxspend:SOC-CON,0.8659,0.8994,0.0335,0.3736,0.289,1.4828,0.0993,1.598,0.09,0.25,inconclusive,taxspend,marpor_vs_expert
social:RR-LIB,0.2485,0.2528,0.0043,0.2724,-0.1568,0.7168,-0.2415,0.7977,0.986,0.25,inconclusive,social,marpor_vs_expert
taxspend:EAST-WEST,0.3102,0.3033,-0.007,0.3311,-0.2015,0.8213,-0.3793,0.9257,0.69,0.25,inconclusive,taxspend,marpor_vs_expert
social:EAST-WEST,-0.0587,-0.0614,-0.0027,0.2725,-0.4535,0.3977,-0.5328,0.5628,1.0,0.25,inconclusive,social,marpor_vs_expert
immigration:EAST-WEST,0.2187,0.2197,0.001,0.4332,-0.4931,0.6641,-0.7764,0.7559,0.98,0.25,inconclusive,immigration,marpor_vs_expert
eu:EAST-WEST,0.0785,0.0762,-0.0022,0.1524,-0.1857,0.3077,-0.2449,0.3614,1.0,0.25,inconclusive,eu,marpor_vs_expert
environment:EAST-WEST,1.3206,1.3253,0.0047,0.7076,0.013,2.2701,-0.2958,2.5309,0.002,0.25,inconclusive,environment,marpor_vs_expert
decentralization:EAST-WEST,-0.5725,-0.5583,0.0142,0.8672,-1.8932,0.2303,-2.5289,0.4717,0.922,0.25,inconclusive,decentralization,marpor_vs_expert
immigration:RR-CON,0.1165,0.1153,-0.0012,0.1811,-0.1696,0.4348,-0.2315,0.5119,1.0,0.25,inconclusive,immigration,llm_vs_marpor_lambda1
immigration:RR-CD,0.1997,0.212,0.0123,0.217,-0.1394,0.5691,-0.2123,0.6329,0.99,0.25,inconclusive,immigration,llm_vs_marpor_lambda1
environment:ECO-SD,-0.9165,-0.9284,-0.0119,0.493,-1.9233,-0.4027,-2.1678,-0.2748,0.732,0.25,inconclusive,environment,llm_vs_marpor_lambda1
taxspend:SOC-CON,-3.2024,-3.2139,-0.0115,0.5893,-4.4057,-2.4298,-4.6299,-2.3283,0.0,0.25,non-equivalent,taxspend,llm_vs_marpor_lambda1
social:RR-LIB,1.2861,1.2674,-0.0187,0.2396,0.9408,1.7276,0.8725,1.8272,0.0,0.25,non-equivalent,social,llm_vs_marpor_lambda1
taxspend:EAST-WEST,0.1099,0.1171,0.0073,0.27,-0.2898,0.5555,-0.4295,0.6842,1.0,0.25,inconclusive,taxspend,llm_vs_marpor_lambda1
social:EAST-WEST,0.4641,0.4611,-0.003,0.232,0.12,0.8673,0.0625,0.9787,0.026,0.25,non-equivalent,social,llm_vs_marpor_lambda1
immigration:EAST-WEST,0.2907,0.3021,0.0115,0.1483,0.0352,0.4932,-0.0339,0.5618,0.584,0.25,inconclusive,immigration,llm_vs_marpor_lambda1
eu:EAST-WEST,-0.1503,-0.1513,-0.001,0.1022,-0.3106,0.0301,-0.3451,0.0569,0.78,0.25,inconclusive,eu,llm_vs_marpor_lambda1
environment:EAST-WEST,0.3688,0.3626,-0.0062,0.4567,-0.2594,1.2127,-0.3764,1.4437,0.94,0.25,inconclusive,environment,llm_vs_marpor_lambda1
decentralization:EAST-WEST,0.3008,0.3127,0.0119,0.3108,-0.2093,0.8036,-0.2672,0.8713,0.98,0.25,inconclusive,decentralization,llm_vs_marpor_lambda1
