pi1,delta,agree_prevalence_gap,agree_accuracy_gap,agree_accuracy_eff,regret_accuracy_gap_pp,distort50_accuracy,ess_loss_accuracy,agree_f1_gap,agree_f1_eff,regret_f1_gap_pp,distort50_f1,ess_loss_f1,agree_balanced_accuracy_gap,agree_balanced_accuracy_eff,regret_balanced_accuracy_gap_pp,distort50_balanced_accuracy,ess_loss_balanced_accuracy
0.5,0.0,0.1922,0.6302,0.9794,0.268,0.0008,0.0003,0.7272,0.8866,0.1257,0.0,0.0067,1.0,0.6366,0.0,0.0,0.063
0.5,0.1,0.166,0.4534,0.9772,0.7028,0.0014,0.0004,0.4986,0.8894,0.5546,0.0002,0.0068,0.5452,0.6454,0.4649,0.0016,0.0612
0.5,0.25,0.1426,0.2746,0.973,1.6381,0.0168,0.0005,0.295,0.881,1.5151,0.0126,0.0073,0.3262,0.6394,1.4683,0.0256,0.0621
0.5,0.5,0.1838,0.2854,0.975,1.9964,0.0598,0.0006,0.2896,0.8888,1.967,0.06,0.0072,0.2716,0.6584,2.2386,0.0902,0.0598
0.5,0.75,0.2026,0.2892,0.9692,2.3696,0.1232,0.0008,0.291,0.9064,2.406,0.1214,0.0064,0.2746,0.686,2.8676,0.1638,0.0592
0.5,1.0,0.2316,0.3246,0.959,2.5971,0.1678,0.0012,0.3172,0.8916,2.7482,0.1786,0.008,0.2844,0.6904,3.4108,0.2274,0.0591
0.2,0.0,0.1726,0.56,0.8342,0.4127,0.0014,0.013,0.6748,0.9562,0.1978,0.0,0.0011,1.0,0.7058,0.0,0.0,0.0427
0.2,0.1,0.1348,0.406,0.8244,0.8597,0.0042,0.0166,0.4618,0.9074,0.6546,0.0004,0.0049,0.5556,0.6876,0.4492,0.0012,0.047
0.2,0.25,0.1406,0.2676,0.7348,1.6921,0.0222,0.035,0.2944,0.7828,1.5074,0.0134,0.0242,0.3172,0.6592,1.4349,0.0192,0.0605
0.2,0.5,0.191,0.2632,0.6254,2.1636,0.075,0.0784,0.2712,0.6494,2.0822,0.07,0.0692,0.2624,0.5876,2.3451,0.0918,0.1001
0.2,0.75,0.2046,0.2738,0.548,2.7307,0.153,0.1236,0.2708,0.5566,2.7304,0.1524,0.1186,0.2506,0.5102,3.2073,0.1886,0.1486
0.2,1.0,0.2312,0.2844,0.5022,3.2506,0.213,0.1615,0.282,0.5072,3.3426,0.2186,0.159,0.2604,0.4838,3.9209,0.252,0.1829
0.1,0.0,0.1718,0.5418,0.7896,0.4633,0.0036,0.0213,0.6514,0.9212,0.2231,0.0,0.0033,1.0,0.7216,0.0,0.0,0.037
0.1,0.1,0.1438,0.4112,0.7698,0.9008,0.0062,0.0267,0.4722,0.856,0.666,0.0012,0.0102,0.5654,0.6948,0.4471,0.001,0.0445
0.1,0.25,0.1414,0.263,0.6624,1.7627,0.0298,0.0587,0.2874,0.7004,1.567,0.0192,0.0458,0.3118,0.626,1.4696,0.0212,0.0732
0.1,0.5,0.1918,0.2582,0.4932,2.396,0.0958,0.1404,0.2582,0.5202,2.3837,0.092,0.1297,0.2432,0.4908,2.5814,0.1092,0.1502
0.1,0.75,0.2138,0.2582,0.413,3.0333,0.1744,0.2126,0.2594,0.4274,3.0513,0.1754,0.2039,0.2288,0.4082,3.4906,0.2026,0.2182
0.1,1.0,0.2154,0.2586,0.3564,3.8828,0.261,0.2781,0.256,0.3584,4.0084,0.2666,0.2748,0.2332,0.3492,4.4991,0.2908,0.2871
