stat,estimate,se,lo90,hi90,lo95,hi95,p_family,sesoi,call,target
delta_did:1,0.3573,0.418,-0.2037,1.0868,-0.315,1.2936,0.2,0.25,inconclusive,expert_10
delta_target:1,0.559,0.3749,0.1688,1.3307,0.101,1.5127,,0.25,non-equivalent,expert_10
sens_did:1,0.0611,0.0548,-0.0066,0.1632,-0.0143,0.172,,0.05,inconclusive,expert_10
fpr_did:1,-0.0073,0.0088,-0.0238,0.0063,-0.0246,0.0138,,0.05,equivalent,expert_10
delta_did:2,-0.1935,0.4119,-0.774,0.4813,-0.8968,0.6028,0.725,0.25,inconclusive,expert_10
delta_target:2,0.1494,0.1514,0.001,0.4899,-0.0462,0.5045,,0.25,inconclusive,expert_10
sens_did:2,-0.0089,0.0436,-0.0713,0.0639,-0.081,0.068,,0.05,inconclusive,expert_10
fpr_did:2,-0.0149,0.0095,-0.0275,0.0026,-0.0313,0.0033,,0.05,equivalent,expert_10
delta_did:1,-0.0962,1.2555,-1.1713,0.5841,-1.3747,0.6576,0.3125,0.25,inconclusive,expert_11
delta_target:1,0.1055,1.2281,-0.8094,0.8718,-0.9217,0.9491,,0.25,inconclusive,expert_11
sens_did:1,-0.0049,0.0568,-0.1038,0.0832,-0.1049,0.09,,0.05,inconclusive,expert_11
fpr_did:1,-0.0067,0.0654,-0.0513,0.0118,-0.0531,0.0184,,0.05,inconclusive,expert_11
delta_did:2,-0.4701,1.3033,-1.415,0.1757,-1.4893,0.2115,0.3875,0.25,inconclusive,expert_11
delta_target:2,-0.1272,1.2046,-0.7755,0.438,-0.938,0.5191,,0.25,inconclusive,expert_11
sens_did:2,-0.0271,0.0475,-0.0977,0.0518,-0.1162,0.0547,,0.05,inconclusive,expert_11
fpr_did:2,-0.0307,0.0642,-0.0648,-0.004,-0.073,-0.0035,,0.05,inconclusive,expert_11
delta_did:1,0.3228,0.5113,-0.3509,0.9575,-0.952,1.1345,0.075,0.25,inconclusive,expert_12
delta_target:1,0.5245,0.6228,-0.2039,1.2547,-0.7752,1.5623,,0.25,inconclusive,expert_12
sens_did:1,0.0507,0.0601,-0.0578,0.1271,-0.0969,0.1452,,0.05,inconclusive,expert_12
fpr_did:1,-0.003,0.01,-0.0176,0.0128,-0.0195,0.0185,,0.05,equivalent,expert_12
delta_did:2,-0.1633,0.6913,-1.4293,0.6686,-1.73,1.0223,0.275,0.25,inconclusive,expert_12
delta_target:2,0.1796,0.6636,-0.9965,1.2328,-1.2345,1.388,,0.25,inconclusive,expert_12
sens_did:2,-0.0015,0.0823,-0.1346,0.112,-0.153,0.1634,,0.05,inconclusive,expert_12
fpr_did:2,-0.0165,0.0112,-0.0325,-0.0015,-0.0386,0.0018,,0.05,equivalent,expert_12
delta_did:1,0.6716,1.8347,-2.9101,3.2275,-3.0587,3.4911,0.1375,0.25,inconclusive,expert_3
delta_target:1,0.8733,1.8382,-2.6825,3.4336,-3.0026,3.7785,,0.25,inconclusive,expert_3
sens_did:1,0.0332,0.0945,-0.1597,0.1452,-0.1775,0.1625,,0.05,inconclusive,expert_3
fpr_did:1,0.0475,0.1057,-0.1101,0.2164,-0.1197,0.219,,0.05,inconclusive,expert_3
delta_did:2,-0.5955,0.9442,-2.482,0.579,-2.8253,1.2262,0.2625,0.25,inconclusive,expert_3
