rater,party,sens,fpr
expert_10,Lab,0.1557,0.0017
expert_10,Con,0.2355,0.0025
expert_10,LD,0.1742,0.004
expert_11,Lab,0.4385,0.0238
expert_11,Con,0.4521,0.0252
expert_11,LD,0.4388,0.0102
expert_12,Lab,0.3346,0.004
expert_12,Con,0.4039,0.0091
expert_12,LD,0.3604,0.0046
expert_3,Lab,0.7998,0.0701
expert_3,Con,0.8516,0.1257
expert_3,LD,0.7554,0.0736
expert_6,Lab,0.8758,0.118
expert_6,Con,0.8735,0.1006
expert_6,LD,0.8695,0.0964
expert_7,Lab,0.3192,0.0105
expert_7,Con,0.4425,0.0119
expert_7,LD,0.3702,0.0279
expert_8,Lab,0.8263,0.1516
expert_8,Con,0.7904,0.0902
expert_8,LD,0.7798,0.1151
expert_9,Lab,0.9294,0.1447
expert_9,Con,0.9346,0.1262
expert_9,LD,0.9049,0.1168
crowd,Lab,0.6468,0.0938
crowd,Con,0.6653,0.1019
crowd,LD,0.6741,0.111
