scenario,rep,any_non_equivalent,all_equivalent,est_delta_pp:1,est_delta_pp:2,call_delta_pp:1,call_delta_pp:2
null,0,False,False,-2.2275,-0.5884,inconclusive,equivalent
null,1,False,True,-0.0955,-0.9233,equivalent,equivalent
null,2,False,True,-0.3195,-0.5095,equivalent,equivalent
null,3,False,True,-0.9876,-0.7061,equivalent,equivalent
null,4,False,True,0.9166,0.1827,equivalent,equivalent
null,5,False,True,0.1874,-0.703,equivalent,equivalent
null,6,False,True,-0.0748,0.5579,equivalent,equivalent
null,7,False,True,-0.2206,0.4214,equivalent,equivalent
null,8,False,True,-0.1543,-0.0182,equivalent,equivalent
null,9,False,True,0.77,0.2404,equivalent,equivalent
null,10,False,True,0.2762,-0.0583,equivalent,equivalent
null,11,False,True,-0.1744,-1.2479,equivalent,equivalent
null,12,False,True,-0.5375,-0.656,equivalent,equivalent
null,13,False,True,-0.6594,0.6474,equivalent,equivalent
null,14,False,True,-0.2869,0.2387,equivalent,equivalent
null,15,False,True,-0.9967,-1.261,equivalent,equivalent
null,16,False,True,-1.1145,-1.1526,equivalent,equivalent
null,17,False,True,0.166,0.4592,equivalent,equivalent
null,18,False,True,0.0779,-0.5116,equivalent,equivalent
null,19,False,True,-0.1734,-0.3882,equivalent,equivalent
null,20,False,True,0.1384,0.4373,equivalent,equivalent
null,21,False,True,-1.1535,-0.3478,equivalent,equivalent
null,22,False,True,1.3156,0.6921,equivalent,equivalent
null,23,False,True,0.6197,-0.036,equivalent,equivalent
null,24,False,True,0.4712,0.2194,equivalent,equivalent
alt_Con_sens_-0.20,0,True,False,-8.4986,0.1651,non-equivalent,equivalent
alt_Con_sens_-0.20,1,True,False,-7.8534,0.0907,non-equivalent,equivalent
alt_Con_sens_-0.20,2,True,False,-9.4336,-0.6888,non-equivalent,equivalent
alt_Con_sens_-0.20,3,True,False,-8.3771,-0.0323,non-equivalent,equivalent
alt_Con_sens_-0.20,4,True,False,-8.3189,1.4496,non-equivalent,equivalent
alt_Con_sens_-0.20,5,True,False,-8.0633,-0.3726,non-equivalent,equivalent
alt_Con_sens_-0.20,6,True,False,-7.8917,0.9862,non-equivalent,equivalent
alt_Con_sens_-0.20,7,True,False,-9.1962,-1.0185,non-equivalent,equivalent
alt_Con_sens_-0.20,8,True,False,-8.3281,-1.344,non-equivalent,equivalent
alt_Con_sens_-0.20,9,True,False,-9.5423,-0.7372,non-equivalent,equivalent
alt_Con_sens_-0.20,10,True,False,-8.4118,-0.2379,non-equivalent,equivalent
alt_Con_sens_-0.20,11,True,False,-8.3788,-0.6689,non-equivalent,equivalent
alt_Con_sens_-0.20,12,True,False,-8.4111,0.811,non-equivalent,equivalent
alt_Con_sens_-0.20,13,True,False,-9.5521,-0.2416,non-equivalent,equivalent
alt_Con_sens_-0.20,14,True,False,-7.5779,0.3401,non-equivalent,equivalent
alt_Con_sens_-0.20,15,True,False,-9.0131,-1.2871,non-equivalent,equivalent
alt_Con_sens_-0.20,16,True,False,-7.7986,0.5445,non-equivalent,equivalent
alt_Con_sens_-0.20,17,True,False,-8.3456,0.4334,non-equivalent,equivalent
alt_Con_sens_-0.20,18,True,False,-8.3183,-0.495,non-equivalent,equivalent
alt_Con_sens_-0.20,19,True,False,-10.0423,-1.6958,non-equivalent,equivalent
alt_Con_sens_-0.20,20,True,False,-8.8004,-0.0761,non-equivalent,equivalent
alt_Con_sens_-0.20,21,True,False,-8.995,0.041,non-equivalent,equivalent
alt_Con_sens_-0.20,22,True,False,-8.6778,-0.4747,non-equivalent,equivalent
alt_Con_sens_-0.20,23,True,False,-9.2867,-1.5277,non-equivalent,equivalent
alt_Con_sens_-0.20,24,True,False,-9.0757,-0.0414,non-equivalent,equivalent
