stat,estimate,se,lo90,hi90,lo95,hi95,null_centre,p_family,sesoi,call,target
delta_pp:1,0.7439,0.5981,-0.2478,1.6636,-0.366,1.801,-0.0106,0.0375,3.0,equivalent,expert_10
sens_diff:1,0.0461,0.0441,-0.0214,0.1196,-0.0302,0.1305,-0.0007,0.075,0.05,inconclusive,expert_10
fpr_diff:1,0.0019,0.0012,-0.0003,0.0037,-0.0005,0.0044,-0.0,0.6125,0.05,equivalent,expert_10
delta_pp:2,1.7048,0.5791,0.6565,2.6267,0.575,2.6742,0.003,0.0,3.0,equivalent,expert_10
sens_diff:2,0.1169,0.0346,0.0534,0.1728,0.0457,0.1805,0.0004,0.0,0.05,non-equivalent,expert_10
fpr_diff:2,0.0019,0.0017,-0.0012,0.0042,-0.0016,0.0049,-0.0,0.4625,0.05,equivalent,expert_10
delta_pp:1,2.5385,5.5812,-1.1004,4.484,-2.1327,4.7297,-0.0691,0.0,3.0,inconclusive,expert_11
sens_diff:1,0.0617,0.0785,-0.0779,0.1804,-0.1065,0.1942,-0.0024,0.175,0.05,inconclusive,expert_11
fpr_diff:1,0.0202,0.0618,0.0012,0.0315,-0.0031,0.0332,-0.0005,0.0,0.05,equivalent,expert_11
delta_pp:2,1.5096,5.5806,-0.9281,2.8382,-1.2647,3.0586,-0.1225,0.0,3.0,equivalent,expert_11
sens_diff:2,0.0852,0.0653,-0.0477,0.163,-0.055,0.1734,-0.011,0.0,0.05,inconclusive,expert_11
fpr_diff:2,0.0046,0.0618,-0.0063,0.0127,-0.0071,0.0128,0.0002,0.725,0.05,equivalent,expert_11
delta_pp:1,-1.757,1.0477,-3.0428,-0.0821,-3.2952,0.4048,-0.0523,0.0,3.0,inconclusive,expert_12
sens_diff:1,-0.1203,0.094,-0.2429,0.0314,-0.2515,0.0638,-0.0027,0.0,0.05,inconclusive,expert_12
fpr_diff:1,-0.0026,0.0028,-0.0064,0.0012,-0.0081,0.002,-0.0002,0.85,0.05,equivalent,expert_12
delta_pp:2,-0.487,1.439,-3.2208,1.6055,-3.7018,2.0673,-0.0285,0.5375,3.0,inconclusive,expert_12
sens_diff:2,-0.0746,0.108,-0.2766,0.0557,-0.3006,0.0991,-0.0023,0.1,0.05,inconclusive,expert_12
fpr_diff:2,0.0053,0.0065,-0.0047,0.016,-0.0054,0.0163,-0.0,0.275,0.05,equivalent,expert_12
delta_pp:1,2.9036,5.5384,-7.3971,10.1714,-9.1589,13.365,0.0531,0.0,3.0,inconclusive,expert_3
sens_diff:1,0.1374,0.0956,-0.067,0.259,-0.0694,0.2811,-0.0043,0.0,0.05,inconclusive,expert_3
fpr_diff:1,0.0133,0.0534,-0.0776,0.0842,-0.1009,0.1225,0.0013,0.5625,0.05,inconclusive,expert_3
delta_pp:2,1.7696,4.1379,-7.4448,5.3725,-8.1144,6.0814,0.212,0.225,3.0,inconclusive,expert_3
sens_diff:2,0.0442,0.1,-0.1608,0.1589,-0.1804,0.2076,0.0038,0.65,0.05,inconclusive,expert_3
fpr_diff:2,0.0142,0.0386,-0.0603,0.0435,-0.0866,0.0501,0.0019,0.65,0.05,inconclusive,expert_3
delta_pp:1,1.2134,1.7649,-0.7501,4.1322,-1.4179,4.7557,-0.0009,0.0,3.0,inconclusive,expert_6
sens_diff:1,0.0378,0.09,-0.0561,0.2195,-0.0913,0.2404,-0.0018,0.1,0.05,inconclusive,expert_6
fpr_diff:1,0.0082,0.0087,-0.0039,0.0245,-0.0073,0.0255,0.0003,0.0,0.05,equivalent,expert_6
delta_pp:2,-1.2614,1.4356,-3.2616,1.2662,-3.4069,1.9214,0.0056,0.0,3.0,inconclusive,expert_6
sens_diff:2,-0.0602,0.0889,-0.1923,0.0962,-0.1971,0.1391,-0.0084,0.075,0.05,inconclusive,expert_6
fpr_diff:2,-0.0049,0.0027,-0.0086,-0.0004,-0.0088,0.0005,0.0014,0.025,0.05,equivalent,expert_6
delta_pp:1,-3.8927,1.9562,-5.6226,0.067,-6.2287,1.3676,-0.1073,0.0,3.0,inconclusive,expert_7
sens_diff:1,-0.0419,0.0854,-0.1232,0.1405,-0.1504,0.1554,-0.0119,0.8875,0.05,inconclusive,expert_7
fpr_diff:1,-0.0385,0.013,-0.0511,-0.003,-0.0531,0.0017,0.0005,0.0,0.05,inconclusive,expert_7
delta_pp:2,-1.5173,2.5979,-4.9933,2.8469,-5.2036,4.278,-0.1065,0.15,3.0,inconclusive,expert_7
sens_diff:2,-0.0293,0.0695,-0.0937,0.1218,-0.1502,0.1266,-0.0102,0.9875,0.05,inconclusive,expert_7
fpr_diff:2,-0.013,0.0242,-0.0485,0.0209,-0.0507,0.0361,0.0003,0.05,0.05,equivalent,expert_7
delta_pp:1,2.0955,1.3781,0.2941,4.4196,-0.2144,5.5036,0.0598,0.0,3.0,inconclusive,expert_8
sens_diff:1,0.0369,0.0766,-0.0664,0.152,-0.0717,0.2321,0.0054,0.375,0.05,inconclusive,expert_8
fpr_diff:1,0.0187,0.0071,0.0089,0.0317,0.006,0.0323,-0.0001,0.0,0.05,equivalent,expert_8
delta_pp:2,-0.5751,1.7047,-2.4049,2.0771,-2.9134,2.4616,0.0998,0.175,3.0,equivalent,expert_8
sens_diff:2,-0.0489,0.0955,-0.1594,0.102,-0.1828,0.1094,-0.0002,0.0125,0.05,inconclusive,expert_8
fpr_diff:2,0.0011,0.0058,-0.0071,0.0092,-0.0078,0.0121,0.0012,1.0,0.05,equivalent,expert_8
delta_pp:1,1.2692,1.0028,0.0049,2.6981,-0.5449,2.7608,0.0395,0.0125,3.0,equivalent,expert_9
sens_diff:1,0.0184,0.0474,-0.0475,0.1191,-0.0501,0.1333,0.001,0.85,0.05,inconclusive,expert_9
fpr_diff:1,0.0117,0.007,-0.0008,0.0207,-0.0026,0.0222,0.0003,0.0125,0.05,equivalent,expert_9
delta_pp:2,-0.9877,1.1332,-2.2543,1.3092,-2.4589,1.6445,0.0515,0.0625,3.0,equivalent,expert_9
sens_diff:2,-0.0822,0.058,-0.1505,0.0345,-0.1636,0.0666,-0.0025,0.0,0.05,inconclusive,expert_9
fpr_diff:2,0.0015,0.0051,-0.005,0.0096,-0.0081,0.0116,0.001,1.0,0.05,equivalent,expert_9
delta_pp:1,-0.17,1.9227,-3.1013,2.9155,-3.5261,3.3627,0.0058,0.5625,3.0,inconclusive,crowd
sens_diff:1,-0.0154,0.0351,-0.0974,0.0223,-0.1022,0.0384,0.0022,0.0875,0.05,inconclusive,crowd
fpr_diff:1,0.0001,0.0186,-0.0276,0.037,-0.0286,0.039,-0.0003,1.0,0.05,equivalent,crowd
delta_pp:2,1.4507,1.9234,-2.4397,3.9671,-2.5305,5.1607,-0.0191,0.0,3.0,inconclusive,crowd
sens_diff:2,-0.0192,0.0208,-0.0512,0.0141,-0.0557,0.0217,-0.0016,0.1,0.05,inconclusive,crowd
fpr_diff:2,0.0192,0.0218,-0.0226,0.0507,-0.0288,0.0595,0.0,0.0,0.05,inconclusive,crowd
