rater,party,sens,fpr
expert_10,Lab,0.1641,0.0022
expert_10,Con,0.2113,0.0042
expert_10,LD,0.2853,0.0032
expert_11,Lab,0.4675,0.0184
expert_11,Con,0.5358,0.0371
expert_11,LD,0.5593,0.0229
expert_12,Lab,0.5535,0.0081
expert_12,Con,0.432,0.0058
expert_12,LD,0.4765,0.014
expert_3,Lab,0.7903,0.0678
expert_3,Con,0.9231,0.079
expert_3,LD,0.8302,0.0806
expert_6,Lab,0.7948,0.007
expert_6,Con,0.8384,0.0135
expert_6,LD,0.7376,0.001
expert_7,Lab,0.6316,0.0445
expert_7,Con,0.586,0.0058
expert_7,LD,0.5936,0.0302
expert_8,Lab,0.8191,0.0129
expert_8,Con,0.8384,0.0287
expert_8,LD,0.7624,0.0134
expert_9,Lab,0.8674,0.0221
expert_9,Con,0.8879,0.0328
expert_9,LD,0.7922,0.0258
crowd,Lab,0.7234,0.1166
crowd,Con,0.7272,0.1176
crowd,LD,0.7042,0.1305
