scenario,rep,any_non_equivalent,all_equivalent,est_delta_pp:1,est_delta_pp:2,call_delta_pp:1,call_delta_pp:2
null,0,False,True,-0.6078,-0.0808,equivalent,equivalent
null,1,False,True,-0.0251,-0.2422,equivalent,equivalent
null,2,False,True,-0.293,0.1132,equivalent,equivalent
null,3,False,True,-0.5902,-0.5938,equivalent,equivalent
null,4,False,True,0.6432,0.2663,equivalent,equivalent
null,5,False,True,0.1334,-0.3832,equivalent,equivalent
null,6,False,True,0.2008,0.2336,equivalent,equivalent
null,7,False,True,0.07,0.2194,equivalent,equivalent
null,8,False,True,0.0492,-0.2796,equivalent,equivalent
null,9,False,True,0.0256,-0.1688,equivalent,equivalent
null,10,False,True,0.1812,0.2037,equivalent,equivalent
null,11,False,True,-0.5297,-1.2509,equivalent,equivalent
null,12,False,True,0.66,0.4533,equivalent,equivalent
null,13,False,True,-0.0644,-0.0724,equivalent,equivalent
null,14,False,True,-0.1969,-0.0947,equivalent,equivalent
null,15,False,True,-0.428,-0.9268,equivalent,equivalent
null,16,False,True,-0.2514,0.3977,equivalent,equivalent
null,17,False,True,-0.3858,0.0023,equivalent,equivalent
null,18,False,True,-0.1932,-0.2893,equivalent,equivalent
null,19,False,True,-0.3425,-0.2549,equivalent,equivalent
null,20,False,True,0.1219,0.2043,equivalent,equivalent
null,21,False,True,-0.0752,0.286,equivalent,equivalent
null,22,False,True,-0.0314,0.1486,equivalent,equivalent
null,23,False,True,-0.0681,-0.1868,equivalent,equivalent
null,24,False,True,0.445,0.2834,equivalent,equivalent
alt_Con_sens_-0.20,0,False,False,-2.8978,-0.1244,inconclusive,equivalent
alt_Con_sens_-0.20,1,False,False,-2.4769,0.2632,inconclusive,equivalent
alt_Con_sens_-0.20,2,False,False,-2.7787,-0.0761,inconclusive,equivalent
alt_Con_sens_-0.20,3,False,True,-2.0292,0.1779,equivalent,equivalent
alt_Con_sens_-0.20,4,False,True,-2.4123,0.6135,equivalent,equivalent
alt_Con_sens_-0.20,5,False,False,-2.1327,0.4213,inconclusive,equivalent
alt_Con_sens_-0.20,6,False,False,-2.7064,0.6514,inconclusive,equivalent
alt_Con_sens_-0.20,7,False,False,-2.9846,0.0644,inconclusive,equivalent
alt_Con_sens_-0.20,8,False,True,-1.8959,-0.2015,equivalent,equivalent
alt_Con_sens_-0.20,9,False,True,-2.5298,-0.0451,equivalent,equivalent
alt_Con_sens_-0.20,10,False,False,-2.708,0.1142,inconclusive,equivalent
alt_Con_sens_-0.20,11,False,False,-2.7207,-0.5579,inconclusive,equivalent
alt_Con_sens_-0.20,12,False,False,-2.7238,0.7419,inconclusive,equivalent
alt_Con_sens_-0.20,13,False,False,-2.6405,0.013,inconclusive,equivalent
alt_Con_sens_-0.20,14,False,True,-2.1248,0.2582,equivalent,equivalent
alt_Con_sens_-0.20,15,False,False,-2.4761,-0.5302,inconclusive,equivalent
alt_Con_sens_-0.20,16,False,True,-1.6759,1.2541,equivalent,equivalent
alt_Con_sens_-0.20,17,False,False,-2.5738,0.2344,inconclusive,equivalent
alt_Con_sens_-0.20,18,False,False,-2.9494,-0.4243,inconclusive,equivalent
alt_Con_sens_-0.20,19,False,False,-2.9376,-0.486,inconclusive,equivalent
alt_Con_sens_-0.20,20,False,False,-2.6393,-0.4425,inconclusive,equivalent
alt_Con_sens_-0.20,21,True,False,-3.2845,-0.3276,non-equivalent,equivalent
alt_Con_sens_-0.20,22,False,False,-2.7301,-0.454,inconclusive,equivalent
alt_Con_sens_-0.20,23,False,False,-2.8226,-0.9606,inconclusive,equivalent
alt_Con_sens_-0.20,24,False,False,-2.4703,0.4258,inconclusive,equivalent
