scenario,rep,estimate,lo95,hi95,call,coded_items
null,0,0.669,0.0978,1.325,inconclusive,25572
null,1,0.8577,-0.1428,1.4845,inconclusive,25507
null,2,0.7269,0.0788,1.1943,inconclusive,25343
null,3,0.9243,0.3876,1.5688,inconclusive,25434
null,4,0.3285,-0.0814,0.7586,equivalent,25391
null,5,0.5294,0.0045,0.9128,equivalent,25307
null,6,0.2078,-0.0694,0.5354,equivalent,25366
null,7,0.8002,0.3286,1.3997,inconclusive,25513
null,8,0.476,0.0525,1.0904,inconclusive,25511
null,9,0.6801,0.2441,1.1377,inconclusive,25586
null,10,0.2429,-0.2798,0.8018,equivalent,25598
null,11,0.3303,-0.1668,0.8632,equivalent,25385
null,12,0.028,-0.4117,0.5025,equivalent,25216
null,13,0.8433,0.4836,1.1927,inconclusive,25323
null,14,0.5498,0.012,0.9535,equivalent,25601
alt_RR_sens_-0.20,0,-0.5332,-0.898,-0.1809,equivalent,25536
alt_RR_sens_-0.20,1,-1.1587,-1.5874,-0.7635,non-equivalent,25546
alt_RR_sens_-0.20,2,-0.5715,-1.243,-0.098,inconclusive,25410
alt_RR_sens_-0.20,3,-1.2204,-1.5725,-0.6691,non-equivalent,25522
alt_RR_sens_-0.20,4,-0.3744,-1.1541,0.1198,inconclusive,25394
alt_RR_sens_-0.20,5,-1.2315,-1.6051,-0.7869,non-equivalent,25465
alt_RR_sens_-0.20,6,-0.9246,-1.3365,-0.5564,inconclusive,25380
alt_RR_sens_-0.20,7,-0.8904,-1.5165,-0.4283,inconclusive,25248
alt_RR_sens_-0.20,8,-0.9802,-1.3534,-0.6774,inconclusive,25492
alt_RR_sens_-0.20,9,-1.1992,-1.4311,-0.8131,non-equivalent,25357
alt_RR_sens_-0.20,10,-1.6463,-2.0743,-1.2991,non-equivalent,25656
alt_RR_sens_-0.20,11,-0.7137,-1.4635,0.4635,inconclusive,25308
alt_RR_sens_-0.20,12,-1.0132,-1.4432,-0.4272,non-equivalent,25421
alt_RR_sens_-0.20,13,-0.9475,-1.6328,-0.1947,inconclusive,25364
alt_RR_sens_-0.20,14,-0.7552,-1.2424,-0.2683,inconclusive,25323
