area,model,para,party,latent_share,llm_share,sens,fpr
economic,Qwen2.5-7B-I,a,Lab,41.3676,61.2084,0.8931,0.4137
economic,Qwen2.5-7B-I,a,Con,44.2109,65.5642,0.9323,0.4363
economic,Qwen2.5-7B-I,a,LD,39.5885,59.6283,0.909,0.3912
economic,granite-3.3-,a,Lab,41.3676,43.6096,0.7617,0.2064
economic,granite-3.3-,a,Con,44.2109,47.6658,0.8247,0.2008
economic,granite-3.3-,a,LD,39.5885,44.4343,0.8133,0.2026
economic,Phi-3.5-mini,a,Lab,41.3676,44.6321,0.7387,0.2401
economic,Phi-3.5-mini,a,Con,44.2109,49.7705,0.8095,0.2506
economic,Phi-3.5-mini,a,LD,39.5885,46.748,0.797,0.2515
economic,Mistral-7B-I,a,Lab,41.3676,34.5004,0.6127,0.1562
economic,Mistral-7B-I,a,Con,44.2109,40.9242,0.7163,0.1659
economic,Mistral-7B-I,a,LD,39.5885,35.3252,0.6726,0.144
economic,Qwen2.5-7B-I,b,Lab,41.3676,42.7266,0.7709,0.1849
economic,Qwen2.5-7B-I,b,Con,44.2109,46.558,0.8138,0.1896
economic,Qwen2.5-7B-I,b,LD,39.5885,43.159,0.8108,0.1831
economic,granite-3.3-,b,Lab,41.3676,32.7343,0.5807,0.1486
economic,granite-3.3-,b,Con,44.2109,38.6928,0.6805,0.1543
economic,granite-3.3-,b,LD,39.5885,32.3374,0.6185,0.1301
economic,Phi-3.5-mini,b,Lab,41.3676,33.1681,0.5642,0.1677
economic,Phi-3.5-mini,b,Con,44.2109,38.7245,0.6505,0.1786
economic,Phi-3.5-mini,b,LD,39.5885,35.0155,0.6196,0.1737
economic,Mistral-7B-I,b,Lab,41.3676,18.2804,0.3779,0.0453
economic,Mistral-7B-I,b,Con,44.2109,24.9248,0.5021,0.049
economic,Mistral-7B-I,b,LD,39.5885,19.4935,0.4214,0.0467
economic,Qwen2.5-7B-I,c,Lab,41.3676,59.4578,0.8639,0.4045
economic,Qwen2.5-7B-I,c,Con,44.2109,62.5732,0.8987,0.4094
economic,Qwen2.5-7B-I,c,LD,39.5885,58.1162,0.8723,0.3903
economic,granite-3.3-,c,Lab,41.3676,47.529,0.7215,0.3016
economic,granite-3.3-,c,Con,44.2109,51.0524,0.79,0.2891
economic,granite-3.3-,c,LD,39.5885,47.331,0.7727,0.2771
economic,Phi-3.5-mini,c,Lab,41.3676,34.8722,0.5926,0.1767
economic,Phi-3.5-mini,c,Con,44.2109,39.1518,0.6624,0.1769
economic,Phi-3.5-mini,c,LD,39.5885,35.9993,0.6433,0.1744
economic,Mistral-7B-I,c,Lab,41.3676,37.8931,0.6061,0.2187
economic,Mistral-7B-I,c,Con,44.2109,44.295,0.7049,0.2353
economic,Mistral-7B-I,c,LD,39.5885,37.0741,0.6265,0.2032
social,Qwen2.5-7B-I,a,Lab,12.543,21.5492,0.6074,0.1593
social,Qwen2.5-7B-I,a,Con,12.9294,16.8381,0.5726,0.1084
social,Qwen2.5-7B-I,a,LD,13.6432,22.7182,0.6967,0.153
social,granite-3.3-,a,Lab,12.543,37.9706,0.8744,0.3087
social,granite-3.3-,a,Con,12.9294,32.8691,0.8518,0.251
social,granite-3.3-,a,LD,13.6432,37.1652,0.8988,0.2883
social,Phi-3.5-mini,a,Lab,12.543,44.3997,0.813,0.391
social,Phi-3.5-mini,a,Con,12.9294,39.041,0.8118,0.3278
social,Phi-3.5-mini,a,LD,13.6432,44.6347,0.8706,0.3793
social,Mistral-7B-I,a,Lab,12.543,64.9419,0.9699,0.6034
social,Mistral-7B-I,a,Con,12.9294,58.1263,0.9728,0.523
social,Mistral-7B-I,a,LD,13.6432,64.1647,0.9798,0.5881
social,Qwen2.5-7B-I,b,Lab,12.543,23.0209,0.8544,0.1407
social,Qwen2.5-7B-I,b,Con,12.9294,22.1554,0.8527,0.1278
social,Qwen2.5-7B-I,b,LD,13.6432,22.9368,0.8238,0.1355
social,granite-3.3-,b,Lab,12.543,58.7607,0.9584,0.5343
social,granite-3.3-,b,Con,12.9294,52.5558,0.9656,0.4601
social,granite-3.3-,b,LD,13.6432,59.1547,0.9775,0.5305
social,Phi-3.5-mini,b,Lab,12.543,62.2463,0.9353,0.5775
social,Phi-3.5-mini,b,Con,12.9294,55.7841,0.9158,0.5046
social,Phi-3.5-mini,b,LD,13.6432,61.523,0.9436,0.5632
social,Mistral-7B-I,b,Lab,12.543,80.4648,0.9843,0.7787
social,Mistral-7B-I,b,Con,12.9294,73.0495,0.9931,0.6914
social,Mistral-7B-I,b,LD,13.6432,79.5409,0.9972,0.7634
social,Qwen2.5-7B-I,c,Lab,12.543,19.4423,0.6379,0.1309
social,Qwen2.5-7B-I,c,Con,12.9294,16.6324,0.6119,0.1002
social,Qwen2.5-7B-I,c,LD,13.6432,21.6979,0.701,0.1406
social,granite-3.3-,c,Lab,12.543,40.5112,0.8376,0.3431
social,granite-3.3-,c,Con,12.9294,36.0025,0.8466,0.2877
social,granite-3.3-,c,LD,13.6432,42.3392,0.8873,0.3501
social,Phi-3.5-mini,c,Lab,12.543,49.5895,0.8185,0.4496
social,Phi-3.5-mini,c,Con,12.9294,44.2,0.8145,0.3867
social,Phi-3.5-mini,c,LD,13.6432,51.4848,0.8935,0.455
social,Mistral-7B-I,c,Lab,12.543,61.4717,0.944,0.5674
social,Mistral-7B-I,c,Con,12.9294,55.0404,0.9488,0.4912
social,Mistral-7B-I,c,LD,13.6432,62.6344,0.9606,0.5734
