model,paraphrase,n,invalid_rate,share[economic: neither left nor right],share[economic: left],share[not economic or social],share[economic: right],share[social: conservative],share[social: liberal],share[social: neither liberal nor conservative],share[social: very liberal],share[economic: very right],share[social: very conservative],share[economic: very left]
Qwen/Qwen2.5-7B-Instruct,a,200,0.0,0.255,0.235,0.18,0.165,0.065,0.065,0.035,0.0,0.0,0.0,0.0
allenai/OLMo-2-1124-7B-Instruct,a,200,0.0,0.195,0.025,0.055,0.305,0.155,0.04,0.04,0.075,0.065,0.035,0.01
ibm-granite/granite-3.3-8b-instruct,a,200,0.0,0.13,0.21,0.175,0.12,0.09,0.125,0.09,0.01,0.025,0.01,0.015
microsoft/Phi-3.5-mini-instruct,a,200,0.0,0.27,0.055,0.12,0.09,0.085,0.1,0.215,0.0,0.05,0.015,0.0
mistralai/Mistral-7B-Instruct-v0.3,a,200,0.0,0.165,0.105,0.01,0.105,0.15,0.07,0.34,0.025,0.015,0.005,0.01
Qwen/Qwen2.5-7B-Instruct,b,200,0.0,0.135,0.115,0.365,0.155,0.115,0.075,0.025,0.0,0.0,0.01,0.005
allenai/OLMo-2-1124-7B-Instruct,b,200,0.0,0.115,0.025,0.0,0.1,0.08,0.08,0.005,0.275,0.175,0.08,0.065
ibm-granite/granite-3.3-8b-instruct,b,200,0.0,0.1,0.09,0.075,0.09,0.105,0.36,0.04,0.035,0.035,0.025,0.045
microsoft/Phi-3.5-mini-instruct,b,200,0.0,0.205,0.03,0.07,0.095,0.115,0.195,0.265,0.0,0.015,0.01,0.0
mistralai/Mistral-7B-Instruct-v0.3,b,200,0.0,0.085,0.03,0.015,0.07,0.14,0.195,0.425,0.02,0.005,0.01,0.005
Qwen/Qwen2.5-7B-Instruct,c,200,0.0,0.375,0.075,0.24,0.145,0.045,0.035,0.065,0.01,0.005,0.0,0.005
allenai/OLMo-2-1124-7B-Instruct,c,200,0.0,0.28,0.055,0.025,0.24,0.07,0.01,0.06,0.02,0.175,0.015,0.05
ibm-granite/granite-3.3-8b-instruct,c,200,0.0,0.19,0.175,0.115,0.115,0.09,0.12,0.135,0.015,0.005,0.015,0.025
microsoft/Phi-3.5-mini-instruct,c,200,0.0,0.3,0.005,0.165,0.04,0.065,0.095,0.325,0.0,0.0,0.005,0.0
mistralai/Mistral-7B-Instruct-v0.3,c,200,0.0,0.235,0.08,0.005,0.09,0.095,0.105,0.31,0.03,0.035,0.005,0.01
